,id_video,Channel,title,description,publish_time,duration,definiton,closed_caption,license_content,madeforkids,license,view_count,like_count,favorite_count,comment_count
27,Xw-zxQSEzqo,Decycle,Two AIs Have An Existential Crisis (chatgpt),"Heavily Inspired by Jack Soslow's video ""Two AIs talk about becoming human"", https://www.youtube.com/watch?v=jz78fSnBG0s ...",2021-08-25T00:00:11Z,PT5M58S,hd,true,True,False,youtube,3168488,110046,0,13144
28,JYtZ2zsdE_s,Kevin Stratvert,10X Your Excel Skills with ChatGPT 🚀,"In this step-by-step tutorial, learn how you can exponentially improve your Excel skills using OpenAI's ChatGPT artificial ...",2023-01-12T08:00:07Z,PT11M39S,hd,true,True,False,youtube,3134463,47665,0,796
29,jnnj6Fd2ym0,Sandeep Maheshwari,The Future of Artificial Intelligence By Sandeep Maheshwari | Will ChatGPT Take Your Job?,"Sandeep Maheshwari is a name among millions who struggled, failed and surged ahead in search of success, happiness and ...",2023-05-11T06:38:09Z,PT15M15S,hd,false,False,False,youtube,3123532,120005,0,6011
30,a-xGt-YvYys,JonTronShow,The A.I. Episode (Chat GPT Takes Over The World) - JonTron,Install Raid for Free ✓Mobile and PC: https://clik.cc/SZdDZ and get a special starter pack with an Epic champion Jotun   New ...,2023-01-28T23:04:56Z,PT15M57S,hd,false,True,False,youtube,3049341,179252,0,7674
31,iWhlrkfJrCQ,GothamChess,ChatGPT cheated,Get My Chess Courses: https://www.chessly.com/ ➡️ Get my best-selling chess book: https://geni.us/gothamchess ➡️ My book ...,2023-02-13T16:17:00Z,PT21M41S,hd,false,True,False,youtube,2995141,136517,0,9703
32,ABHz5oZx-WA,Nick Jones,"I Asked AI about the Second Coming of Jesus, and its Response Left Me Stunned!","I asked an advanced AI system about the end times according to the Bible, and what it revealed left me absolutely stunned!",2023-06-05T20:33:59Z,PT31M30S,hd,false,True,False,youtube,2887033,106647,0,22736
33,kQPUWryXwag,Leila Gharani,Bring ChatGPT INSIDE Excel to Solve ANY Problem Lightning FAST,"Get access to ""Quick Wins with ChatGPT"" productivity course: https://link.xelplus.com/yt-chatgpt-course use coupon code ...",2023-02-06T16:02:30Z,PT11M51S,hd,true,True,False,youtube,2809317,39976,0,1196
34,_ks5nM-ScTE,DrossRotzank,Una experiencia lúgubre con la I.A ChatGPT,"Si el video te gusta, valoraría mucho que le dieras like y que comentaras algo. ¡Gracias! ❤ | ¡Suscríbete! http://bit.ly/1a1sm3k ...",2023-06-20T00:00:08Z,PT25M23S,hd,false,True,False,youtube,2662975,183306,0,10503
35,J5ArSJfQng0,Caffeinated Blogger,Use ChatGPT to Make $320 Per Day | Make Money with AI,Free Training: How I Make Passive Income Online: https://ContentDough.com ❤️ Follow Me On Instagram: ...,2023-01-22T09:39:24Z,PT59S,hd,false,True,False,youtube,2633856,193389,0,1343
36,Gaf_jCnA6mc,Charlie Chang,ChatGPT Tutorial: How to Use Chat GPT For Beginners 2023,"Get my free Top 10 ChatGPT Use Cases PDF here: https://www.charliechang.com/chatgpt In this video, I'm going to give you a ...",2023-04-04T18:09:53Z,PT27M51S,hd,false,True,False,youtube,2608673,49183,0,1085
37,jHv63Uvk5VA,Santrel Media,Complete ChatGPT Tutorial - [Become A Power User in 30 Minutes],"Stay ahead of the curve with our AI newsletter: https://neuralfrontier.beehiiv.com/ In this video, I will show you the 10 major types of ...",2023-02-25T14:46:49Z,PT27M32S,hd,false,True,False,youtube,2600529,44149,0,1162
38,FtIEhrZD_5I,Alakh GK,CHAT GPT और Artificial Intelligence | कैसे GPT USE करें | ROBOTS V/S HUMANS | JOBS RISK | Alakh GK,ChatGPT #HowToUseChatGPT #AI.,2023-06-21T16:22:23Z,PT29M49S,hd,false,True,False,youtube,2545829,82293,0,2214
39,J-1442w0l9g,CA Rahul Malodia: Business Coach,ChatGPT Vs Google | Explained In Hindi By Rahul Malodia,"Jobs that require human intelligence and a high level of education – writing, journalism, translation, education, law, computer ...",2023-03-04T12:30:10Z,PT15M58S,hd,true,True,False,youtube,2448435,51956,0,1630
40,WizoCwjEKsg,蘋果妹,超簡單！一次上手ChatGPT使用教學 文案 報告 論文,【必看續集】最新ChatGPT教學影片！完整版https://youtu.be/EM25tJ4oHUM 〖訂閱頻道按鈕〗https://bit.ly/applemeisubscribe ...,2023-01-31T13:30:11Z,PT8M34S,hd,true,True,False,youtube,2444104,50401,0,1353
41,3mIqCO3f96c,Rye,I Made a Game Using ChatGPT,Today I Made a Game With ChatGPT. In this unity devlog / indie devlog video I made a game with AI. Can an AI make a good ...,2023-03-05T22:53:39Z,PT9M51S,hd,false,True,False,youtube,2377223,40587,0,1450
42,RCBZ-Xj2dgQ,SidTalk,ChatGPT Tutorial in HINDI | What is Chat GPT &amp; How To Download ChatGPT in Mobile Phone | Live DEMO,"Hey Guys, In this video i'll explain you what is Chat GPT & How to use Chat GPT in Hindi. How to earn money using Chat GPT in ...",2023-01-09T13:53:02Z,PT9M23S,hd,false,True,False,youtube,2338680,86340,0,1982
43,f-_78a0HXCY,Ben Shapiro,Ben Shapiro Breaks AI Chatbot (with Facts &amp; Logic),"Ben Shapiro debates AI chatbot, Open AI. Open AI is supposed to have objective answers, using extraordinary amounts of ...",2022-12-26T17:00:20Z,PT15M37S,hd,false,True,False,youtube,2335558,80895,0,10697
44,-fopYsgFdzc,Hayls World,10 ChatGPT Life Hacks - THAT’LL CHANGE YOUR LIFE !!,"Hey guys! Welcome back to Hayls World! Today's video is all about ChatGPT and how it can change your life! In ""10 ChatGPT Life ...",2023-03-31T15:00:01Z,PT11M,hd,false,True,False,youtube,2303510,67037,0,2761
45,nnboHTfYsfk,Sky News Australia,Sky News Australia interviews &#39;free-thinking&#39; artificial intelligence,"Sky News Investigations Reporter Jonathan Lea sits down to talk with a “free-thinking” and “opinionated” artificial intelligence, ...",2023-08-29T10:47:35Z,PT6M30S,hd,false,True,False,youtube,2293458,19744,0,10049
46,mYNqikThZvQ,TradeIQ ,ChatGPT Trading Strategy Made 19527% Profit ( FULL TUTORIAL ),Live Options Trading (80%+ Win Rate) - https://www.ezoptions.co/?ref=mis My #1 Indicator Recommendation ...,2023-03-11T14:43:12Z,PT8M12S,hd,false,True,False,youtube,2275352,42233,0,3250
47,kISB5sum51Y,Yes Theory,Letting Chat GPT control our lives for 72hrs,Join us on our Stage Channel on June 29th at 10am EST to chat - https://discord.gg/yestheory - Thanks to Discord for sponsoring ...,2021-06-27T16:49:58Z,PT22M11S,hd,false,True,False,youtube,2270506,113534,0,5086
48,RdAQnkDzGvc,KARE 11,Testing the limits of ChatGPT and discovering a dark side,"As more people discover ChatGPT's artificial intelligence, KARE 11's Chris Hrapsky checks out its capabilities and limitations, and ...",2023-02-15T13:00:15Z,PT10M55S,hd,false,True,False,youtube,2264857,43866,0,4437
49,_lhRRQuJkqA,Kishan Ahir,Earn ₹2000/Day With ChatGPT 🔥 Lekin kese ?,"Earn ₹2000/Day With Chat GPT | Best Freelance Work | COPY PASTE JOB | Chatgpt in hindi In this video , I talk about Chatgpt .",2023-01-22T10:56:02Z,PT6M22S,hd,false,True,False,youtube,2253439,67505,0,2151
