id,name,picture_url
1009392,La Nuit,http://i.annihil.us/u/prod/marvel/i/mg/9/10/4c003d76b5ec6.jpg
1011327,Lady Bullseye,http://i.annihil.us/u/prod/marvel/i/mg/9/90/4ce5a67d44f61.jpg
1009393,Lady Deathstrike,http://i.annihil.us/u/prod/marvel/i/mg/9/60/535ff2c1ef191.jpg
1011014,Lady Mastermind,http://i.annihil.us/u/prod/marvel/i/mg/5/d0/4c00326f63d4c.jpg
1014977,Lady Ursula,http://i.annihil.us/u/prod/marvel/i/mg/c/40/4cd053ea971ed.jpg
1014976,Lady Vermin,http://i.annihil.us/u/prod/marvel/i/mg/6/10/4cd053529dd41.jpg
1009394,Lake,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009395,Landau,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009397,Lava-Man,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011100,Layla Miller,http://i.annihil.us/u/prod/marvel/i/mg/3/00/52740e37c104f.jpg
1009398,Leader,http://i.annihil.us/u/prod/marvel/i/mg/b/c0/52b0d25c3dbb9.jpg
1011092,Leech,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009399,Legion,http://i.annihil.us/u/prod/marvel/i/mg/3/30/526547cc31b36.jpg
1011403,"Lei Kung, The Thunderer",http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009166,Lenny Balinger,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011186,Leo (Zodiac),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010340,Leopardon,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011375,Leper Queen,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1014988,Lester,http://i.annihil.us/u/prod/marvel/i/mg/6/80/4cd060cb94659.jpg
1011421,Lethal Legion,http://i.annihil.us/u/prod/marvel/i/mg/5/50/4c002e13dd271.jpg
1010977,Lieutenant Marcus Stone,http://i.annihil.us/u/prod/marvel/i/mg/5/30/4c0032b127cf1.jpg
1009401,Lifeguard,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011408,Lightning Lords of Nepal,http://i.annihil.us/u/prod/marvel/i/mg/2/b0/4c002e24a1794.jpg
1010450,Lightspeed,http://i.annihil.us/u/prod/marvel/i/mg/6/a0/4c7c643921b8e.jpg
1009236,Lila Cheney,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009402,Lilandra,http://i.annihil.us/u/prod/marvel/i/mg/6/20/52740ff3f2c50.jpg
1011074,Lilith,http://i.annihil.us/u/prod/marvel/i/mg/3/e0/52740fe6287e4.jpg
1011257,Lily Hollister,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010337,Lionheart,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011444,Living Laser,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010854,Living Lightning,http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4c0035c72cc26.jpg
1011036,Living Mummy,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011059,Living Tribunal,http://i.annihil.us/u/prod/marvel/i/mg/2/a0/4c0031062f91f.jpg
1009403,Liz Osborn,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009404,Lizard,http://i.annihil.us/u/prod/marvel/i/mg/f/50/528d33efe2cae.jpg
1010939,Lizard (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/2/60/4c0034207bd80.jpg
1011414,Loa,http://i.annihil.us/u/prod/marvel/i/mg/8/a0/52740fd40a2cc.jpg
1009405,Lockheed,http://i.annihil.us/u/prod/marvel/i/mg/7/20/4c7c6465c79c5.png
1009406,Lockjaw,http://i.annihil.us/u/prod/marvel/i/mg/6/20/4c003d64a5a99.jpg
1010363,Logan,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009407,Loki,http://i.annihil.us/u/prod/marvel/i/mg/d/90/526547f509313.jpg
1017299,Loki (LEGO Marvel Super Heroes),http://i.annihil.us/u/prod/marvel/i/mg/3/20/5239c4e1c5351.jpg
1010768,Loners,http://i.annihil.us/u/prod/marvel/i/mg/3/00/4c0037581a64e.jpg
1009408,Longshot,http://i.annihil.us/u/prod/marvel/i/mg/5/60/4c003d6176aa1.jpg
1010940,Longshot (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/5/40/4c00341b3ec43.jpg
1011145,Lord Hawal,http://i.annihil.us/u/prod/marvel/i/mg/9/10/4c002f7d355de.jpg
1014980,Lord Tyger,http://i.annihil.us/u/prod/marvel/i/mg/1/b0/4cd05ab2bd5ee.jpg
1011283,Lords of Avalon,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009260,Lorna Dane,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009409,Luckman,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011405,Lucky Pierre,http://i.annihil.us/u/prod/marvel/i/mg/a/e0/4c002e2ce2ba0.jpg
1010751,Lucy in the Sky,http://i.annihil.us/u/prod/marvel/i/mg/d/50/4c00377435871.jpg
1009215,Luke Cage,http://i.annihil.us/u/prod/marvel/i/mg/6/a0/5112d8b6e596c.jpg
1011200,Luminals,http://i.annihil.us/u/prod/marvel/i/mg/8/b0/4c002f1f80d5c.jpg
1017854,Luna Snow (Luna Snow),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
